symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2026-01-27 05:00:00+00:00,258.72,261.945,258.23,258.28,1373812.0,17522.0,260.259407
AAPL,2026-01-28 05:00:00+00:00,257.5,258.83,254.51,256.45,1183853.0,17739.0,256.109842
AAPL,2026-01-29 05:00:00+00:00,258.115,259.59,254.41,258.175,2117007.0,27253.0,257.021633
AAPL,2026-01-30 05:00:00+00:00,255.165,261.88,252.25,259.06,2649913.0,36600.0,256.570011
AAPL,2026-02-02 05:00:00+00:00,259.91,270.45,259.31,269.95,1819831.0,26822.0,266.085971
AAPL,2026-02-03 05:00:00+00:00,269.22,271.85,267.72,269.46,2247433.0,24873.0,269.713258
AAPL,2026-02-04 05:00:00+00:00,272.32,278.94,272.32,276.41,2491142.0,30534.0,275.990541
AAPL,2026-02-05 05:00:00+00:00,277.97,279.45,273.31,275.93,2039881.0,23379.0,275.529219
AAPL,2026-02-06 05:00:00+00:00,277.16,280.88,276.94,278.11,1687881.0,20784.0,278.673143
AAPL,2026-02-09 05:00:00+00:00,277.88,278.02,271.71,274.5,1275153.0,18395.0,273.584357
AAPL,2026-02-10 05:00:00+00:00,274.99,275.36,272.96,273.585,870120.0,12893.0,273.980518
AAPL,2026-02-11 05:00:00+00:00,274.695,280.14,274.475,275.465,1479464.0,21095.0,277.51799
AAPL,2026-02-12 05:00:00+00:00,275.51,275.65,260.19,261.65,1934239.0,29332.0,266.00576
AAPL,2026-02-13 05:00:00+00:00,262.15,262.15,255.48,255.755,1665212.0,21960.0,258.266007
AAPL,2026-02-17 05:00:00+00:00,258.055,266.25,255.55,263.93,1502965.0,24407.0,261.763329
AAPL,2026-02-18 05:00:00+00:00,263.56,266.81,262.5,264.235,1116911.0,15638.0,264.799762
AAPL,2026-02-19 05:00:00+00:00,262.395,264.435,260.06,260.52,915241.0,13042.0,262.124248
AAPL,2026-02-20 05:00:00+00:00,258.91,264.75,258.21,264.72,987663.0,14826.0,262.579231
AAPL,2026-02-23 05:00:00+00:00,263.55,269.43,263.48,266.4,1102705.0,15878.0,266.682686
AAPL,2026-02-24 05:00:00+00:00,267.71,274.845,267.71,272.19,1125292.0,15552.0,272.740833
AAPL,2026-02-25 05:00:00+00:00,271.52,274.93,271.085,274.16,917020.0,13566.0,273.734046
GOOGL,2026-01-27 05:00:00+00:00,335.13,337.89,333.6,334.46,654002.0,11802.0,335.800333
GOOGL,2026-01-28 05:00:00+00:00,335.54,337.52,331.94,336.14,1193326.0,13513.0,335.051682
GOOGL,2026-01-29 05:00:00+00:00,340.54,342.29,326.58,338.17,1225533.0,17317.0,332.691409
GOOGL,2026-01-30 05:00:00+00:00,334.125,339.9,332.51,338.03,859664.0,13949.0,337.498839
GOOGL,2026-02-02 05:00:00+00:00,336.025,344.76,335.72,343.8,789932.0,14339.0,341.982161
GOOGL,2026-02-03 05:00:00+00:00,347.71,348.93,337.49,339.84,739640.0,13346.0,342.146143
GOOGL,2026-02-04 05:00:00+00:00,343.02,343.285,328.57,333.06,2364929.0,30835.0,333.588898
GOOGL,2026-02-05 05:00:00+00:00,312.15,332.555,306.56,332.3,2958903.0,36392.0,323.983655
GOOGL,2026-02-06 05:00:00+00:00,327.555,330.17,319.99,322.97,1798877.0,25917.0,323.591507
